Series,Sa2_main11,GCCSA_Name,LGA_NAME_2013,SA4_Name,SA3_Name,SA2_Name,CODE_1,Name_1,Code_2,Name_2,SC2_2011,SC2_2013,SC2_2016,SC2_2021,SC2_2026,SC2_2031,SC2_2036,SC2_2041
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,A,"Agriculture, Forestry and Fishing",1,Agriculture,11.95903055,16.71741907,17.39270342,17.61013973,20.19192171,22.13016049,22.82124196,23.34806165
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,A,"Agriculture, Forestry and Fishing",2,Aquaculture,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,A,"Agriculture, Forestry and Fishing",3,Forestry and Logging,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,A,"Agriculture, Forestry and Fishing",4,"Fishing, Hunting and Trapping",0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,A,"Agriculture, Forestry and Fishing",5,"Agriculture, Forestry and Fishing Support Services",0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,B,Mining,6,Coal Mining,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,B,Mining,7,Oil and Gas Extraction,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,B,Mining,8,Metal Ore Mining,37.4021686,41.32566278,44.99637458,53.65481897,26.3999619,26.57197343,26.05946281,24.94792956
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,B,Mining,9,Non-Metallic Mineral Mining and Quarrying,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,B,Mining,10,Exploration and Other Mining Support Services,13.33535806,13.56712801,13.47106864,9.817110683,41.6338168,42.60457758,42.34358331,40.96955289
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,11,Food Product Manufacturing,15.52104813,13.42887581,14.11034878,15.26856643,18.50269446,16.20272005,15.06946401,13.22521936
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,12,Beverage and Tobacco Product Manufacturing,8.325993761,7.917291929,9.15401349,9.592904442,14.57146814,15.20386739,16.17568609,13.21623074
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,13,"Textile, Leather, Clothing and Footwear Manufacturing",49.17378801,41.77627277,38.58899,33.83624569,39.10744702,35.85394236,32.55294434,26.33288452
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,14,Wood Product Manufacturing,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,15,"Pulp, Paper and Converted Paper Product Manufacturing",4.048213456,3.70062305,3.660763355,2.722796717,2.800888849,2.321069613,1.951547172,1.677190128
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,16,Printing (including the Reproduction of Recorded Media),38.62234631,32.907426,29.50509598,21.97612702,19.78763911,31.05102535,28.04531164,24.14109258
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,17,Petroleum and Coal Product Manufacturing,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,18,Basic Chemical and Chemical Product Manufacturing,26.80646958,23.78094202,24.6540656,21.41575932,25.22681449,28.30723692,29.9845683,30.66608721
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,19,Polymer Product and Rubber Product Manufacturing,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,20,Non-Metallic Mineral Product Manufacturing,12.85235611,10.79978829,10.13451838,9.020949538,7.507768906,6.45254305,6.237599408,5.856435942
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,21,Primary Metal and Metal Product Manufacturing,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,22,Fabricated Metal Product Manufacturing,9.954237294,8.849172042,9.093456077,9.997582159,10.36417029,10.58513791,10.34600752,13.15153043
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,23,Transport Equipment Manufacturing,28.91950986,25.30673657,22.4826681,20.10873,16.57045028,11.75501583,22.70596899,23.29595717
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,24,Machinery and Equipment Manufacturing,73.59648857,69.70462686,76.55058398,84.42880187,98.51287557,105.3462977,103.0107579,96.82357029
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,C,Manufacturing,25,Furniture and Other Manufacturing,22.34939568,20.3760275,19.61790633,17.40991101,15.8295832,12.67931371,10.59714399,19.37647528
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,D,"Electricity, Gas, Water and Waste Services",26,Electricity Supply,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,D,"Electricity, Gas, Water and Waste Services",27,Gas Supply,0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,D,"Electricity, Gas, Water and Waste Services",28,"Water Supply, Sewerage and Drainage Services",13.69419302,14.48341247,16.90711372,20.18780495,25.02926459,28.75752402,30.93115802,32.28803409
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,D,"Electricity, Gas, Water and Waste Services",29,"Waste Collection, Treatment and Disposal Services",0,0,0,0,0,0,0,0
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,E,Construction,30,Building Construction,140.1055638,124.6092342,121.2877947,109.9976089,116.0850922,116.2824568,134.7147947,173.1368846
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,E,Construction,31,Heavy and Civil Engineering Construction,23.68036721,21.98237843,21.91960157,21.87609967,24.80656655,25.57228837,28.85886964,40.69864996
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,E,Construction,32,Construction Services,628.4737921,555.7376481,541.9171084,528.3068839,583.4710339,608.3198131,721.8069182,867.4624909
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,F,Wholesale Trade,33,Basic Material Wholesaling,58.7555583,54.96747455,54.38708192,52.40513427,53.58296674,52.27196387,50.8285185,54.49686633
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,F,Wholesale Trade,34,Machinery and Equipment Wholesaling,95.58760968,89.83305143,88.94273505,68.3618154,84.69173452,81.43435738,78.30307203,37.14944753
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,F,Wholesale Trade,35,Motor Vehicle and Motor Vehicle Parts Wholesaling,23.09761725,21.17359099,21.03535552,14.75845573,13.74851317,16.61114471,17.57332308,105.753264
